User_ID,Session_ID,Device_ID,Video_ID,Duration_Watched (minutes),Genre,Country,Age,Gender,Subscription_Status,Ratings,Languages,Device_Type,Location,Playback_Quality,Interaction_Events
9889854c-128c-4df5-93ca-f1a158a72590,e9830ba0-7745-4037-b235-659073d95a38,11,68,82.22350395,Thriller,Dominican Republic,66,Male,Free,3,Spanish,Desktop,Fisherborough,SD,63
8e1009be-0392-42dc-a155-44357c10aa43,ace0bf96-8a87-476f-a9d5-987861c1f856,121,53,11.54670816,Comedy,Georgia,57,Male,Free,3,French,Tablet,Ericbury,SD,81
383b47f5-10f9-48b3-bf77-314251e75a11,37d6ffe7-2829-416b-ad71-115500f0e43d,229,37,117.6401047,Sci-Fi,Malaysia,43,Female,Free,4,German,Smartphone,Port Kathyshire,SD,78
b2692d21-6164-4fa8-bf2a-72537380e46a,19ba4998-3743-45d3-91ad-98c5920639dd,450,40,75.25512391,Thriller,Togo,67,Male,Free,5,German,Laptop,East Kaitlynville,HD,27
26aa455e-a7f0-4f85-b7e5-e85af18bca3a,0aa35154-8fe7-4d37-ba5e-37de65dddff2,126,90,19.97318177,Sci-Fi,Iran,46,Male,Free,1,French,Laptop,South Benjaminport,SD,70
58cc2409-e8d8-4221-b313-125b277741aa,076c5024-6029-439c-979b-eb3fa8b0adde,687,8,47.91976143,Sci-Fi,Estonia,27,Female,Premium,2,Chinese,Smartphone,Dianaville,4K,24
aa08b476-c42a-4323-8357-a027caaaaca2,0008a39c-329a-43a5-8de6-98e33e5326d9,360,37,27.72695403,Comedy,Korea,62,Male,Premium,5,English,Tablet,Riveraview,SD,47
91da06f5-8529-47d0-8317-fd7a79dae826,d856a070-498d-4b6f-8899-1c866a36701f,301,21,103.0037381,Documentary,Lebanon,42,Female,Premium,5,English,Smart TV,New Saraberg,4K,64
d1c113dc-cee2-4c56-ae62-ab274b4fd866,79dd4a4b-585b-4013-b7c8-8afd9f29a3e5,419,39,101.4767759,Action,Trinidad and Tobago,24,Female,Free,2,French,Smartphone,Reyesville,HD,99
b2b81237-52e5-400a-a5f8-2bdb77b0d75e,fbbc70a4-fba3-41a5-ae23-5dbd5fdc5524,910,55,107.9925775,Drama,Saint Vincent and the Grenadines,64,Male,Premium,1,Spanish,Tablet,North Vanessaton,HD,34
08787fd5-e84f-4008-b57c-00e4a1099f69,4ead1a5b-7f4b-4fbc-9e3b-85cfe6dce702,222,47,75.714735,Drama,Belarus,68,Female,Free,4,Spanish,Laptop,Port Thomas,HD,86
c60fef9f-b84f-43fd-be6f-1b8b63a016d7,ba275c7d-5da0-4b39-a05c-c4541bcd174e,690,53,17.11980612,Documentary,Northern Mariana Islands,56,Female,Free,1,German,Tablet,Nicolefort,SD,50
bcbcf395-228a-49c2-bcfc-ec544ce5ddf4,78f60436-6d99-42dc-955b-34e39bfc10dc,320,90,84.00882766,Drama,Jersey,66,Male,Premium,1,German,Smartphone,East Adriana,4K,55
f61990bf-2466-439e-bf98-5ee3af5ecfc5,3f188b06-71e8-4cb6-be1b-d638dfe2fff4,792,46,7.118887891,Documentary,Niue,41,Female,Free,3,English,Smart TV,North Luis,HD,89
20c0b7a3-2051-4b7d-9c42-fd924069bbc6,becf0f2f-fbc7-4be7-89f6-7f4f9552a700,132,13,70.18055507,Documentary,Lesotho,60,Male,Premium,3,Chinese,Laptop,East Cherylborough,SD,56
0fddc85a-b03e-48e5-a283-f35416ed5ddf,437be62f-fe75-4dc3-827a-de74737f47b2,975,17,62.03761541,Drama,Anguilla,37,Female,Free,5,German,Laptop,New Jeremiahport,HD,83
9fb0fd9e-5aae-41e7-8d1b-03fa59bbfc27,405a4c0b-ebf0-4683-b271-702d55973f16,566,24,55.35621468,Action,Romania,58,Male,Premium,2,French,Desktop,Lake Paul,HD,66
8b7c6411-841a-440e-9d83-0e27511bb2c5,b4af1bfa-5926-48fc-9cba-39a76e6a6847,591,29,101.671632,Comedy,Uganda,45,Female,Premium,3,Spanish,Laptop,South Robertbury,4K,26
3295f854-c5df-4c21-bb76-82be76d395f5,bacb7f4a-6e0c-420c-9ead-cf0bc5f3a126,224,57,26.81577812,Comedy,Comoros,26,Male,Free,5,Spanish,Tablet,East Dawnland,HD,17
06135006-df65-42b3-aa74-4551dda9d970,c0b32771-6c3f-40c7-82a7-3c74858a4716,440,93,14.4282295,Thriller,Austria,18,Male,Free,5,Chinese,Tablet,Cindymouth,4K,68
420c3dcd-efaa-4a65-bef9-ae5b4bda4e7a,458a8b64-fdae-4dcd-a6a2-f06a2a7b9f72,791,88,91.38085105,Drama,Austria,15,Male,Premium,1,German,Laptop,New Kristi,HD,11
8994f7ae-93ab-4bf4-b356-59388c50c21a,b4340fb6-3de4-471f-b34a-d1c39e0af909,362,100,101.8931322,Action,Paraguay,25,Male,Free,5,German,Desktop,Lake Carolynfort,SD,65
dc262390-19fe-4bc9-bc28-6f92ca28281b,3210fa04-e92c-4bd5-b6a2-73e943a6631e,18,18,98.25151455,Comedy,Angola,68,Male,Premium,3,German,Smartphone,Perezport,SD,40
7312a761-7753-4ccd-9298-8630f36cbcff,a8767ccf-93b4-4450-8e51-a2511cf1c82b,657,24,5.80790045,Drama,Philippines,43,Female,Premium,4,French,Laptop,East Angelamouth,4K,81
407911ee-f9a5-4fe4-a0a5-2a49b3cd8d5f,9779c5db-bf7b-4b5d-a76f-70a60f20b266,167,49,97.92999356,Thriller,Cambodia,15,Male,Free,5,English,Smartphone,Jenkinsport,HD,82
b90a0d55-0762-4f2e-aa32-8ffdf3692f50,da77e08f-b6c0-4c4a-8bee-bc8366635c57,728,92,71.52714525,Documentary,Benin,66,Female,Premium,1,Spanish,Smart TV,West Crystal,SD,62
3ef39223-d8d2-4677-b80b-4b27aa9bee8d,fef96555-eaf4-4240-bf80-234b18949297,411,82,84.36518312,Thriller,Yemen,32,Female,Premium,1,French,Laptop,Gardnershire,HD,54
